Wavelength (nm),QE (%)
300.866,39.9251
310.129,37.3376
320.328,35.0311
330.076,33.5145
342.242,31.8547
352.463,30.7548
362.798,30.7458
371.478,31.9561
380.885,37.2619
390.263,40.9467
400.124,45.6319
411.845,50.1463
421.204,52.8444
430.572,55.9795
440.869,59.0434
450.700,62.0636
460.522,64.6080
470.813,67.3477
482.033,69.9455
492.885,72.8003
502.816,75.0723
513.540,77.1335
523.910,79.0908
534.181,80.7183
543.945,82.6286
554.724,84.0241
564.870,85.5898
575.355,87.0635
585.605,88.1089
595.969,89.1260
606.226,89.9797
616.215,90.7321
626.640,91.3700
636.882,91.9264
647.341,92.5515
657.792,92.7116
668.038,92.9705
678.489,93.0882
688.911,93.0633
698.640,93.0707
709.212,93.0474
719.210,92.7483
729.543,92.6632
739.777,92.2737
751.035,91.8675
758.512,-34.0512
762.192,91.0617
772.510,90.1647
782.385,89.3330
793.049,88.1044
803.018,86.2704
813.555,84.2935
823.248,82.3537
832.293,80.5222
841.084,77.5968
850.804,74.5438
860.052,71.1246
870.218,67.0140
879.924,63.2122
889.617,58.6527
901.634,53.9203
910.859,49.2749
921.012,44.4031
930.237,39.7154
940.396,35.2524
949.628,30.9594
958.863,26.8496
970.432,23.0620
980.138,19.2196
989.385,15.7582
999.577,13.0430
